,RA,DEC,X,Y,F475W_COUNT,F475W_SKY,F475W_RATE,F475W_RATERR,F475W_VEGA,F475W_TRANS,F475W_ERR,F475W_CHI,F475W_SNR,F475W_SHARP,F475W_ROUND,F475W_CROWD,F475W_FLAG,F814W_COUNT,F814W_SKY,F814W_RATE,F814W_RATERR,F814W_VEGA,F814W_TRANS,F814W_ERR,F814W_CHI,F814W_SNR,F814W_SHARP,F814W_ROUND,F814W_CROWD,F814W_FLAG,F275W_COUNT,F275W_SKY,F275W_RATE,F275W_RATERR,F275W_VEGA,F275W_TRANS,F275W_ERR,F275W_CHI,F275W_SNR,F275W_SHARP,F275W_ROUND,F275W_CROWD,F275W_FLAG,F336W_COUNT,F336W_SKY,F336W_RATE,F336W_RATERR,F336W_VEGA,F336W_TRANS,F336W_ERR,F336W_CHI,F336W_SNR,F336W_SHARP,F336W_ROUND,F336W_CROWD,F336W_FLAG,F110W_COUNT,F110W_SKY,F110W_RATE,F110W_RATERR,F110W_VEGA,F110W_TRANS,F110W_ERR,F110W_CHI,F110W_SNR,F110W_SHARP,F110W_ROUND,F110W_CROWD,F110W_FLAG,F160W_COUNT,F160W_SKY,F160W_RATE,F160W_RATERR,F160W_VEGA,F160W_TRANS,F160W_ERR,F160W_CHI,F160W_SNR,F160W_SHARP,F160W_ROUND,F160W_CROWD,F160W_FLAG,index,F275W_ST_FLAG,F275W_GST_FLAG,F336W_ST_FLAG,F336W_GST_FLAG,F475W_ST_FLAG,F475W_GST_FLAG,F814W_ST_FLAG,F814W_GST_FLAG,F110W_ST_FLAG,F110W_GST_FLAG,F160W_ST_FLAG,F160W_GST_FLAG,n_detected,DENSITY
659,23.433746247875693,30.738980128151454,10516.62,6665.25,128095.4,3836.26,1.46e-10,2.36e-12,24.588,25.225,0.018000000000000002,1.25,61.9,-0.013000000000000001,-0.037000000000000005,0.094,2,784856.4,5761.68,1.7800000000000003e-09,9.400000000000001e-12,21.875,21.901999999999997,0.006,1.15,189.2,0.004,0.016,0.037000000000000005,2,-62.3,19.08,-4.2e-12,2.27e-11,,,9.999,1.51,-0.2,-2.8539999999999996,-0.053,0.261,0,529.2,121.56,1.18e-11,7.29e-12,27.324,,0.6729999999999999,1.27,1.6,-0.46399999999999997,0.639,0.158,2,646607.4,18044.77,4.020000000000001e-09,2.86e-11,20.988000000000003,,0.008,1.39,140.7,-0.018000000000000002,0.127,0.196,0,1050000.0,19787.37,1e-08,4.229999999999999e-11,19.995,,0.005,0.67,237.6,0.005,0.107,0.17,0,836562,0,0,0,0,1,1,1,1,1,1,1,1,4,0.2401249295136813
660,23.436661842724774,30.73887397881795,10262.43,6699.0,209687.6,3818.71,2.39e-10,2.83e-12,24.053,24.647,0.013000000000000001,1.24,84.6,0.027999999999999997,0.151,0.10300000000000001,2,958892.3,5614.56,2.17e-09,9.669999999999999e-12,21.656999999999996,21.674,0.005,1.03,224.8,0.001,0.04,0.11900000000000001,0,-553.2,30.26,-3.8e-11,2.0000000000000002e-11,,,9.999,1.41,-1.9,0.0,0.0,0.0,0,270.9,137.34,5.96e-12,7.2199999999999995e-12,28.061999999999998,,1.315,1.32,0.8,0.065,-1.431,0.096,2,736492.9,18352.05,4.5799999999999995e-09,3.84e-11,20.846999999999998,,0.009000000000000001,1.59,119.5,-0.018000000000000002,-0.027000000000000003,0.408,0,1100000.0,20671.78,1.05e-08,6.25e-11,19.944000000000003,,0.006,1.16,168.3,-0.021,-0.022000000000000002,0.48200000000000004,2,836566,0,0,0,0,1,1,1,1,1,1,1,1,4,0.2544173474065558
661,23.431667900104845,30.739390451161814,10703.75,6674.89,178056.1,3574.5,2.03e-10,3.2499999999999997e-12,24.229,24.846999999999998,0.017,1.59,62.6,-0.032,0.163,0.063,0,944392.9,5331.57,2.14e-09,8.75e-12,21.674,21.695999999999998,0.004,0.93,244.8,-0.01,0.044000000000000004,0.038,0,-343.7,21.91,-2.3999999999999998e-11,1.83e-11,,,9.999,1.31,-1.3,-0.40299999999999997,0.035,0.131,0,147.4,99.51,3.32e-12,6.04e-12,28.698,,1.9769999999999999,1.06,0.5,0.043,0.368,0.179,0,748501.3,15731.85,4.66e-09,5.7600000000000007e-11,20.829,,0.013000000000000001,2.22,80.8,-0.105,-0.013000000000000001,0.15,2,1120000.0,17879.76,1.07e-08,5.64e-11,19.926,,0.006,1.28,190.0,-0.037000000000000005,-0.025,0.129,0,836589,0,0,0,0,1,1,1,1,1,1,1,1,4,0.22229370231072873
662,23.434839545391327,30.738419630248856,10412.07,6625.48,103721.4,4433.3,1.19e-10,3.0499999999999997e-12,24.815,25.479,0.027999999999999997,1.5,38.9,0.02,0.34,0.127,0,831575.8,6145.96,1.89e-09,1.46e-11,21.81,21.846999999999998,0.008,1.5,129.2,-0.01,0.08800000000000001,0.39299999999999996,0,-1026.0,30.7,-7e-11,3.59e-11,,,9.999,2.19,-2.0,0.0,0.0,0.0,0,736.6,192.42,1.61e-11,8.07e-12,26.985,,0.545,1.04,2.0,0.33299999999999996,0.948,0.087,2,755308.0,18439.33,4.7e-09,8.409999999999999e-11,20.819000000000003,,0.019,2.72,55.9,-0.05,0.008,1.053,0,1310000.0,19997.35,1.25e-08,1.12e-10,19.759,,0.01,1.77,111.2,-0.043,-0.033,1.0090000000000001,0,836766,0,0,0,0,1,1,1,1,1,1,1,1,4,0.25160307111826613
663,23.457260530667114,30.715777894785102,12640.55,12450.93,5620000.0,11033.14,5.5000000000000004e-09,1.24e-11,20.65,21.337,0.002,1.39,442.2,0.024,0.037000000000000005,0.08800000000000001,0,68500000.0,31130.15,1.47e-07,7.76e-10,17.079,17.136,0.006,1.14,190.0,-0.004,-0.002,0.061,0,574.9,82.26,3.5e-11,2.4100000000000003e-11,26.141,,0.747,1.16,1.5,-0.012,0.868,0.768,0,11656.9,343.73,2.29e-10,2.26e-11,24.101999999999997,,0.107,1.78,10.1,0.062,0.752,0.28800000000000003,0,84600000.0,39063.89,4.38e-07,2.06e-10,15.895,,0.001,1.11,2130.5,-0.017,0.016,0.052000000000000005,0,130000000.0,54416.81,1.03e-06,3.75e-10,14.966,,0.0,0.96,2752.5,0.018000000000000002,0.008,0.059000000000000004,0,918218,0,0,1,1,1,1,1,1,1,1,1,1,5,0.3295083002537477
664,23.451321924650724,30.711673326020506,13081.85,11947.17,152000000.0,36605.97,1.6e-07,1.1699999999999999e-09,16.988,17.113,0.008,1.53,136.9,-0.048,0.023,0.017,2,141000000.0,48942.11,3.03e-07,1.22e-09,16.296,16.285999999999998,0.004,1.28,247.9,-0.001,0.027999999999999997,0.009000000000000001,0,348091.2,126.53,2.13e-08,2.19e-10,19.180999999999997,,0.011000000000000001,1.65,97.1,-0.027000000000000003,0.013000000000000001,0.002,0,3990000.0,980.29,7.809999999999999e-08,2.41e-10,17.768,,0.003,1.83,324.1,-0.019,0.033,0.001,0,61600000.0,36210.11,3.17e-07,2.0500000000000002e-10,16.246,,0.001,1.88,1547.1,0.005,0.04,0.064,0,49100000.0,37500.67,3.88e-07,1.7e-10,16.028,,0.0,1.06,2279.7,0.006,0.018000000000000002,0.052000000000000005,0,918219,1,1,1,1,1,1,1,1,1,1,1,1,6,0.34994356192222786
665,23.45268771027241,30.722376574446994,13153.32,13045.63,1120000.0,5644.35,1.09e-09,4.62e-12,22.404,23.072,0.005,1.1,236.2,-0.027999999999999997,-0.009000000000000001,0.039,0,30300000.0,17048.25,5.91e-08,5.670000000000001e-11,18.070999999999998,18.160999999999998,0.001,0.69,1042.0,-0.008,0.013000000000000001,0.04,0,-425.7,54.69,-2.5999999999999997e-11,1.73e-11,,,9.999,1.23,-1.5,-1.896,0.044000000000000004,1.033,0,872.4,142.83,1.71e-11,6.61e-12,26.918000000000003,,0.42,1.07,2.6,0.603,0.009000000000000001,0.05,0,45200000.0,33582.61,2.33e-07,1.12e-10,16.582,,0.001,1.02,2074.8,0.004,-0.002,0.14800000000000002,2,83000000.0,45699.75,6.55e-07,2.0899999999999998e-10,15.459000000000001,,0.0,0.87,3131.8,0.009000000000000001,0.006,0.083,0,918220,0,0,0,0,1,1,1,1,1,1,1,1,4,0.29588391059197416
666,23.458128759737995,30.72054955678892,12649.99,12944.59,5540000.0,6624.01,5.41e-09,9.85e-12,20.666,21.334,0.002,1.41,549.7,0.005,0.038,0.013999999999999999,0,45600000.0,20676.07,8.99e-08,1.56e-10,17.615,17.654,0.002,1.65,575.9,-0.012,0.004,0.019,0,68.1,26.31,4.0199999999999994e-12,2.7100000000000002e-11,28.491,,7.336,1.31,0.1,0.691,-0.03,0.028999999999999998,0,9439.0,171.34,1.8499999999999998e-10,1.49e-11,24.333000000000002,,0.08800000000000001,1.18,12.4,0.013999999999999999,-0.42100000000000004,0.006,0,45000000.0,29668.17,2.33e-07,1.46e-10,16.581,,0.001,1.11,1594.9,0.011000000000000001,-0.003,0.045,0,65000000.0,38658.35,5.15e-07,2.52e-10,15.72,,0.001,0.78,2047.6,0.02,0.004,0.04,0,918231,0,0,1,1,1,1,1,1,1,1,1,1,5,0.2999823851072337
667,23.454324611511066,30.71344159048402,12853.27,12170.96,3990000.0,7537.11,3.9e-09,1.0900000000000001e-11,21.022,21.656999999999996,0.003,1.39,359.3,-0.043,0.054000000000000006,0.0,2,23800000.0,16334.6,4.64e-08,5.69e-11,18.333,18.359,0.001,1.13,815.4,-0.019,-0.004,0.0,0,278.4,35.84,1.7e-11,2.45e-11,26.924,,1.5630000000000002,1.42,0.7,0.9179999999999999,0.512,0.004,2,12637.7,177.83,2.4799999999999997e-10,1.43e-11,24.015,,0.063,1.41,17.4,-0.217,0.456,0.0,0,20500000.0,28506.42,1.06e-07,8.83e-11,17.438,,0.001,1.42,1199.2,-0.004,0.028999999999999998,0.02,0,30000000.0,35019.94,2.37e-07,1.2200000000000002e-10,16.563,,0.001,0.83,1935.3,-0.01,0.001,0.024,0,918238,0,0,1,1,1,1,1,1,1,1,1,1,5,0.34317280913210835
668,23.45273430605977,30.72154168861538,13134.49,12962.28,556242.9,5506.55,5.44e-10,3.9300000000000004e-12,23.162,23.846999999999998,0.008,1.17,138.3,-0.04,0.045,0.004,0,10100000.0,11459.31,1.97e-08,2.4399999999999998e-11,19.262,19.333,0.001,0.85,809.3,-0.017,0.011000000000000001,0.003,0,184.4,53.79,1.1199999999999999e-11,2.03e-11,27.372,,1.956,1.27,0.6,0.37200000000000005,2.459,0.002,0,344.6,164.92,6.7599999999999995e-12,7.749999999999999e-12,27.925,,1.244,1.29,0.9,1.966,1.167,0.011000000000000001,0,14300000.0,26595.52,7.37e-08,6.49e-11,17.831,,0.001,1.25,1135.5,0.016,0.03,0.031,0,25100000.0,33349.84,1.98e-07,1.13e-10,16.757,,0.001,0.94,1752.9,-0.002,0.006,0.034,0,918243,0,0,0,0,1,1,1,1,1,1,1,1,4,0.29944720769654803
